Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
C-8mGN7lt5rIraO5n-15ug,The Smith,956 2nd Ave,"{'latitude': 40.755165, 'longitude': -73.967868}",2681,4,10022,american
wq7trRqKCh7P_LnyWRGKGA,Yankee Doodle Dandy's,200 W 40th St,"{'latitude': 40.754761, 'longitude': -73.988261}",3,5,10018,american
AA9wpuJRhkSHUePAiv3otA,The Leroy House,430 Hudson St,"{'latitude': 40.73063, 'longitude': -74.00661}",95,4.5,10014,american
xt4sa64WOrpJvZBDPNPNYg,Jacob's Pickles,509 Amsterdam Ave,"{'latitude': 40.7866504411994, 'longitude': -73.9755284786224}",4303,4,10024,american
Ixh8PpRS3D-xpXPqBf8OBA,Chez Nick,1737 York Ave,"{'latitude': 40.779014, 'longitude': -73.945238}",76,5,10128,american
DGhWO1sUWydVeR5j5ZZaMw,La Grande Boucherie,145 W 53rd St,"{'latitude': 40.76268, 'longitude': -73.98093}",116,4.5,10019,american
Xd_l7jtUAZZAAvK8-mI2Jw,The Smith,1150 Broadway,"{'latitude': 40.74424, 'longitude': -73.98878}",1019,4,10010,american
RfxOtJ4SQmEeVX_XjFLWUQ,Otis,18 Harrison Pl,"{'latitude': 40.706011, 'longitude': -73.932598}",331,5,11206,american
rU9cKxAVU4Gd_JhAqp_bTA,Buttermilk Channel,524 Court St,"{'latitude': 40.675919, 'longitude': -73.999059}",1891,4,11231,american
qOp4T7UxfL6MgO41dN3Qlg,Whitman's,406 E 9th St,"{'latitude': 40.727942, 'longitude': -73.984469}",634,4,10009,american
IXGLhRPnboqlWymYQ5_b0g,Willow Vegan Bistro,199 8th Ave,"{'latitude': 40.743619, 'longitude': -73.999928}",4,4,10011,american
sxE9fpmUb_kqaf_a17dYKQ,Gray Hawk Grill,1556 2nd Ave,"{'latitude': 40.774353, 'longitude': -73.95401}",12,5,10028,american
zWem2SAbFc7lIYR2y9DE0g,Harlem Public,3612 Broadway,"{'latitude': 40.828717774457, 'longitude': -73.9484412254424}",982,4,10031,american
8wMJdpw2R_4VfS55itB_gQ,Sweetwater Restaurant,105 N 6th St,"{'latitude': 40.7184736, 'longitude': -73.9600178}",379,4,11249,american
J3NT61-AH5d5Gu5tFJhYSw,The Cabin NYC,205 E 4th St,"{'latitude': 40.72393, 'longitude': -73.98383}",252,4,10009,american
n-JSnKZcF1Bs-RPcIlb0qw,Elephant & Castle,68 Greenwich Ave,"{'latitude': 40.736214, 'longitude': -74.000729}",535,4,10011,american
QzKASdqNpVXkVUgb_uX43g,Horn’s Hook Tavern,1589 First Ave,"{'latitude': 40.774799, 'longitude': -73.95116}",24,5,10028,american
