Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
chinese,,,,,,,
2UxAkvKkkWNwqZi9H0OzWw,Dian Kitchen,435 E 9th St,"{'latitude': 40.72772, 'longitude': -73.98321}",235,5,10009,chinese
chinese,,,,,,,
X8ZS-dgiMIJvhwf9SaDnjw,Wah Fung No 1,79 Chrystie St,"{'latitude': 40.71735, 'longitude': -73.99457}",1510,4.5,10002,chinese
chinese,,,,,,,
vZgJyMZlpSSS_Y-duxd4_A,Kings Co Imperial,20 Skillman Ave,"{'latitude': 40.71512, 'longitude': -73.95097}",313,4,11211,chinese
chinese,,,,,,,
0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,46 Bowery St,"{'latitude': 40.7156608, 'longitude': -73.9967012}",6256,4,10013,chinese
chinese,,,,,,,
BkXb82Y2OIsQ5RpNNQOYmQ,China Express,192 Union Ave,"{'latitude': 40.7061859, 'longitude': -73.9501435}",112,4,11211,chinese
chinese,,,,,,,
A_fZL0ir_actclrL-ePTOw,JJ Kitchen,475 B Myrtle Ave,"{'latitude': 40.69354, 'longitude': -73.96627}",23,4.5,11205,chinese
chinese,,,,,,,
0dDCDQz7DrKkSvu9h2hcQw,Chow House,181 Bleecker St,"{'latitude': 40.72915, 'longitude': -74.00072}",400,4.5,10012,chinese
chinese,,,,,,,
xVduej7-JiPrZzsFXIkIDw,Lazy Siu's,742 Driggs Ave,"{'latitude': 40.71261, 'longitude': -73.96077}",36,5,11211,chinese
chinese,,,,,,,
lynQoI3w_pzYfHGeuUU-Qg,Shu Jiao Fu Zhou Cuisine Restaurant,118 Eldridge St,"{'latitude': 40.718454, 'longitude': -73.991664}",866,4.5,10002,chinese
chinese,,,,,,,
Q1TpfbuPwKPFrNFyu-u2_g,Han Dynasty,1 Dekalb Ave,"{'latitude': 40.6911319610036, 'longitude': -73.9825977757573}",285,4,11201,chinese
chinese,,,,,,,
cOtB9fWWLrbaBebZDjJquQ,DunHuang Miss Noodles,531 Myrtle Ave,"{'latitude': 40.693992, 'longitude': -73.963482}",22,4.5,11205,chinese
chinese,,,,,,,
R26zweQ8-xoZS7iHkXQOvw,Shanghai 21,21 Mott St,"{'latitude': 40.71441, 'longitude': -73.99902}",1686,4,10013,chinese
chinese,,,,,,,
scTDvJ2M2jDbb1ntVeIyxA,Hao Noodle - West Village,401 6th Ave,"{'latitude': 40.7334863190479, 'longitude': -73.9998929006093}",759,4,10014,chinese
chinese,,,,,,,
wfhMIiMh2A2psCGONOVSlg,Han Dynasty,90 3rd Ave,"{'latitude': 40.732072, 'longitude': -73.988074}",1255,4,10003,chinese
chinese,,,,,,,
LXhxAiLtNsFz1Edt8fFh3A,P.F. Chang's To Go,62 Fulton St,"{'latitude': 40.708625202204395, 'longitude': -74.00518559999999}",1,5,10038,chinese
chinese,,,,,,,
_XLLSXPIjgoZQtwU3RCcQA,Hunan Delight,752 Union St,"{'latitude': 40.6755282563532, 'longitude': -73.9780712127686}",313,4,11215,chinese
chinese,,,,,,,
jc7lVTvmYMIK5RNpENtS6w,Szechuan Mountain House,23 St Marks Pl,"{'latitude': 40.72911, 'longitude': -73.98858}",382,4,10003,chinese
chinese,,,,,,,
lJsNGj70bmuBrcAubvfTAQ,First Wok,155 York St,"{'latitude': 40.70154, 'longitude': -73.98456}",5,5,11201,chinese
chinese,,,,,,,
U2aUFZARLeSMf4RQIxjuTw,Lucky House Kitchen,343 Lewis Ave,"{'latitude': 40.6838402152061, 'longitude': -73.9351565390825}",101,4.5,11233,chinese
chinese,,,,,,,
rJ4N10Nbh-GM49qOSGFoAw,Old Xi'an,164 Pearl St,"{'latitude': 40.70591, 'longitude': -74.00747}",213,4,10005,chinese
chinese,,,,,,,
QQfwlKFD6X8-ZXf7gfQZqg,Hardee Chinese- American,351 Myrtle Ave,"{'latitude': 40.6933441162109, 'longitude': -73.9722290039062}",21,4.5,11205,chinese
chinese,,,,,,,
bnDfFdiCcPzhuNWUJORvLQ,Noodle Village,13 Mott St,"{'latitude': 40.714167, 'longitude': -73.998803}",1136,4,10013,chinese
chinese,,,,,,,
xCHApgtkLpEyh0lz-uhZvg,Szechuan Garden,239 W 105th St,"{'latitude': 40.80053, 'longitude': -73.967586}",309,4,10025,chinese
chinese,,,,,,,
LpVbI-E9C-CSp7WhU5h2Iw,Fishmarket Restaurant,111 South St,"{'latitude': 40.70717, 'longitude': -74.00192}",550,4.5,10038,chinese
chinese,,,,,,,
