Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
japanese,,,,,,,
FlZ1zdVEKWv7dwqm8Uw8-w,Raku,342 E 6th St,"{'latitude': 40.7264988089246, 'longitude': -73.9866526052356}",1111,4.5,10003,japanese
japanese,,,,,,,
axqp3pGJXnTLgq2QrPyDyQ,Benemon,108 E 4th St,"{'latitude': 40.72551, 'longitude': -73.98838}",576,4.5,10003,japanese
japanese,,,,,,,
9QK3vhI04Q8ylqk49C3JcQ,Rule of Thirds,171 Banker St,"{'latitude': 40.7246328, 'longitude': -73.9551096}",47,4,11222,japanese
japanese,,,,,,,
7OMGEtFWT6sdd9TVuoGqJQ,Okonomi,150 Ainslie St,"{'latitude': 40.712622, 'longitude': -73.9487843}",457,4.5,11211,japanese
japanese,,,,,,,
xrZWbxETIF8qj6h4uvhJrQ,J-Spec,239 E 5th St,"{'latitude': 40.72699, 'longitude': -73.98922}",18,4.5,10003,japanese
japanese,,,,,,,
i8F0fnempD5fTb2CxbwKDw,Izakaya,326 E 6th St,"{'latitude': 40.72667, 'longitude': -73.98738}",257,4,10003,japanese
japanese,,,,,,,
klAhw3xLQi9GF1tf_HnS7w,Izakaya MEW,53 W 35th St,"{'latitude': 40.750148, 'longitude': -73.9863203465939}",2338,4,10001,japanese
japanese,,,,,,,
FYWwW5lcxKzaA98Xgw8bqA,hanon,436 Union Ave,"{'latitude': 40.7134488, 'longitude': -73.9513445}",145,4.5,11211,japanese
japanese,,,,,,,
f48yzy50jQDH7X5xFAluOw,Tsukimi,228 East 10th St,"{'latitude': 40.72908, 'longitude': -73.98541}",22,5,10003,japanese
japanese,,,,,,,
qEe7nIhPfEL6L0-VYhWRrA,Raku,48 Macdougal St,"{'latitude': 40.72728, 'longitude': -74.00252}",425,4.5,10012,japanese
japanese,,,,,,,
diz6_4TVSP6EdWEZCZ0Acg,Kaoru,306 E 46th St,"{'latitude': 40.75202, 'longitude': -73.96977}",368,4.5,10017,japanese
japanese,,,,,,,
sCx8tslal3pMurNyGFVjMQ,Evil Katsu,101 Rivington St,"{'latitude': 40.719947, 'longitude': -73.988257}",10,5,10002,japanese
japanese,,,,,,,
B8wHwGZCddRZ_T953FApxQ,Maki Kosaka,55 W 19th St,"{'latitude': 40.740322, 'longitude': -73.99379}",24,4.5,10011,japanese
japanese,,,,,,,
pGYovGGnxm0tMmkiQJPygA,Ume Williamsburg,237 Kent Ave,"{'latitude': 40.71657, 'longitude': -73.96559}",184,4,11249,japanese
japanese,,,,,,,
Brs_MJhAXe60iMnlpeqkKA,Yakiniku West,218 E 9th St,"{'latitude': 40.72965099486931, 'longitude': -73.98853995116153}",695,4,10003,japanese
japanese,,,,,,,
d8qCvlsG3jwxQPZc_OGogQ,Hibino,333 Henry St,"{'latitude': 40.69017, 'longitude': -73.99637}",400,4,11201,japanese
japanese,,,,,,,
nrxSzq-VxLqD7aFkE4SH3Q,Cocoron,37 Kenmare St,"{'latitude': 40.7207236, 'longitude': -73.9953191}",656,4,10012,japanese
japanese,,,,,,,
7iY35991NhQ1AShJZCNZgA,Sakagura,211 E 43rd St,"{'latitude': 40.7516467024541, 'longitude': -73.9729489318165}",1773,4,10017,japanese
japanese,,,,,,,
BPZfuPvSxCfoppU4lPFm0Q,DOMODOMO - New York,140 W Houston St,"{'latitude': 40.72803, 'longitude': -74.00167}",1157,4,10012,japanese
japanese,,,,,,,
kesYSgOJW5krU6L8n9qQ4Q,Ichibantei,401 E 13th St,"{'latitude': 40.73063, 'longitude': -73.98275}",223,4,10009,japanese
japanese,,,,,,,
YC-wGlO0oOkEIaCEDZv-ag,Yakitori Totto,251 W 55th St,"{'latitude': 40.765375, 'longitude': -73.983114}",1317,4,10019,japanese
japanese,,,,,,,
eQ4QUGvuHGBzsOrphsVc6A,Kimura,31 St Marks Pl,"{'latitude': 40.728995, 'longitude': -73.988279}",25,4.5,10003,japanese
japanese,,,,,,,
