Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
fMf4P22m65creknIICuaXA,Kuun,290 Livingston St,"{'latitude': 40.6884292, 'longitude': -73.9831506}",47,4.5,11217
igcUHNvsKc-s-RtvUmkg2w,K'OOK,324 E 6th St,"{'latitude': 40.72682, 'longitude': -73.98738}",443,4.0,10003
0U9uW93o9DUnAP7r-76LVg,Haenyeo,239 5th Ave,"{'latitude': 40.67519, 'longitude': -73.98116}",141,4.0,11215
fVbUVAiLiGgLA_nxBFxyww,Thursday Kitchen,424 E 9th St,"{'latitude': 40.7275, 'longitude': -73.9838}",1363,4.5,10009
FsuJ7VC5vxX3wcLhFrb97Q,Oiji,119 1st Ave,"{'latitude': 40.72727, 'longitude': -73.98585}",518,4.5,10003
PAQDvkvVselqlhOc0Mh92g,Doma,120 1st Ave,"{'latitude': 40.72703, 'longitude': -73.985392}",38,4.5,10009
qY1o1MhoRyN84RRhUJtvpQ,Her Name Is Han,17 E 31st St,"{'latitude': 40.7462615966797, 'longitude': -73.984733581543}",1258,4.0,10016
cOXYWZ_GTX-_ue_kveguRg,SSAM,170 Smith St,"{'latitude': 40.68594, 'longitude': -73.991274}",414,3.5,11201
FZpm4_fbd6P984foOUejWg,Jongro BBQ,22 W 32nd St,"{'latitude': 40.747514, 'longitude': -73.986884}",1997,4.0,10001
vWoT1h8E2eWvIdJqpuxfdg,Tofu Tofu,96 Bowery,"{'latitude': 40.7176299520983, 'longitude': -73.9954301342368}",349,4.5,10013
L7Zj7gLeYeww7I6DNrIs5Q,ChungChun Rice Hot Dog,156-18 Northern Blvd,"{'latitude': 40.76353560584008, 'longitude': -73.808898255229}",61,4.5,11354
FAALx4s7PBtCZWKFqRNPNQ,Tiger Box,169 Park Ave,"{'latitude': 40.6963379, 'longitude': -73.972758}",69,4.5,11205
YqWXNq0Ku7cGb6Zj1j43Pw,KAL,34-05 30th Ave,"{'latitude': 40.76584, 'longitude': -73.91859}",175,4.5,11103
2Bg8Jfl2FvH1unmvxNS0dQ,Sik Gaek,49-11 Roosevelt Ave,"{'latitude': 40.743485, 'longitude': -73.9148356}",575,4.0,11377
L7_siqDfU4-ZA17YtA-SBg,Silver Factory,270 South 5th St,"{'latitude': 40.709227, 'longitude': -73.958598}",208,4.5,11211
xtxcAUvrD4dWHJd0cwvW1A,JeJu Noodle Bar,679 Greenwich St,"{'latitude': 40.73304, 'longitude': -74.00734}",606,4.5,10014
TTGFxOebpxfLVVFqfZemKA,Boka,23 Pell St,"{'latitude': 40.714809, 'longitude': -73.998272}",45,4.5,10013
x9ADy3a--S_6Oqn_1KLipA,Kang Ho Dong Baekjeong,1 E 32nd St,"{'latitude': 40.747173576622, 'longitude': -73.9852144232788}",1289,4.0,10016
6fYGuJZXiFb282D1qJzWSQ,Mokja,852 Amsterdam,"{'latitude': 40.797744938993, 'longitude': -73.9678908884525}",152,4.0,10025
ogCC-lJJYnwXDvKGmKZ6Sw,Woorijip,12 W 32nd St,"{'latitude': 40.74747, 'longitude': -73.98648}",2648,4.0,10001
q1gZLXETOCkRrOESCcjdqw,Doma,43-43 41st St,"{'latitude': 40.7446884, 'longitude': -73.922957}",196,4.0,11104
4Y7N9NqTII8MpRzv4psgAw,Ms Ohho,146 Nassau Ave,"{'latitude': 40.72474, 'longitude': -73.94755}",41,4.5,11222
EKkHfSYTm266-ZBve3SdgA,Yoon Haeundae Galbi,8 W 36th St,"{'latitude': 40.749866, 'longitude': -73.984441}",470,4.5,10018
lSQAmoQtmciUld36ogOoOw,Cho Dang Gol Korean Restaurant,55 W 35th St,"{'latitude': 40.7502365112305, 'longitude': -73.986198425293}",1125,4.0,10001
IjQ2yGUKkvP0JIldT9vRFQ,Take31,15 E 31st St,"{'latitude': 40.7463, 'longitude': -73.984809}",604,4.0,10016
